track_id,track_name,popularity,duration_ms,explicit,album_name,album_release_date,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_names
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,85,200400,False,No Strings Attached,2000-03-21,album,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,4,*NSYNC
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,85,242373,False,Viva La Vida or Death and All His Friends,2008-05-26,album,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4,Coldplay
2kQuhkFX7uSVepCD3h29g5,Smack That,83,212360,True,Konvicted,2006-01-01,album,0.939,0.741,5,-5.171,0,0.0471,0.323,0.0,0.107,0.925,118.978,4,"Akon, Eminem"
34ceTg8ChN5HjrqiIYCn9Q,Miss Independent,77,232000,False,Year Of The Gentleman (Bonus Track Edition),2008-01-01,album,0.673,0.681,1,-5.693,1,0.118,0.52,0.0,0.235,0.707,171.864,4,Ne-Yo
7k6IzwMGpxnRghE7YosnXT,Me & U,76,192213,False,Cassie (U.S. Version),2006-08-07,album,0.803,0.454,8,-4.802,0,0.0294,0.352,0.0,0.0655,0.739,99.99,4,Cassie
3DamFFqW32WihKkTVlwTYQ,Fireflies,76,228346,False,Ocean Eyes,2009-01-01,album,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114,4,Owl City
4EWCNWgDS8707fNSZ1oaA5,Heartless,84,211000,False,808s & Heartbreak,2008-11-24,album,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,4,Kanye West
3U5JVgI2x4rDyHGObzJfNf,Unwritten,85,259333,False,Unwritten,2004-08-30,album,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,4,Natasha Bedingfield
0xmjwnQ3FNE6HuWCt2nHdZ,Where Is The Love?,79,272533,False,Elephunk,2003-06-24,album,0.834,0.699,5,-3.222,1,0.178,0.111,0.0,0.131,0.809,94.086,4,Black Eyed Peas
7uKcScNXuO3MWw6LowBjW1,"1, 2 Step (feat. Missy Elliott)",75,203786,False,Goodies,2004-09-27,album,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,4,"Ciara, Missy Elliott"
